id,color,com_1,com_2,com_3,compline,lauds,little_hours,matins,nobility,octave,office_type,prime,rank_numeric,rank_verbose,mass_Ad Primam Missam,mass_Ad Secundam Missam,mass_Ad Tertiam Missam,mass_cre,mass_glo,mass_int,mass_pre,mass_seq,vespers_oration,vespers_proper,vespers_propers,vespers_admag_1,vespers_admag_2
100000,white,,,,,,,"{""lessons"": 9}","[0, 0, 0, 0, 0, 0]",,False,,22,s,,,,True,True,In medio,Communis,,"Deus, qui populo",False,,O Doctor,O Doctor
100,white,"{""id"": 27400, ""mass"": {""int"": ""L\u00e6tabitur"", ""glo"": true, ""cre"": false, ""pre"": ""Communis""}, ""matins"": {""lessons"": 9}}",,,,,,"{""lessons"": 9}","[4, 2, 6, 8, 3, 0]",,False,,15,d,,,,True,True,In medio,Communis,,"Deus, qui populo",False,,O Doctor,O Doctor
200,white,"{""id"": 27500, ""mass"": {""int"": ""Os justi"", ""glo"": true, ""cre"": false, ""pre"": ""Communis""}}",,,,,,"{""lessons"": 9}","[4, 2, 6, 8, 3, 0]",,False,,15,"d, mtv",,,,False,True,Justus ut palma,Communis,,,False,,firstVespers,secondVespers
300,red,,,,,,,"{""lessons"": 9}","[5, 2, 6, 7, 3, 0]",,False,,16,sd,,,,False,True,Si diligis,de Apostolis,,,False,,firstVespers,secondVespers
400,white,,,,,,,"{""lessons"": 9}","[4, 2, 6, 8, 3, 0]",,False,,15,d,,,,False,True,Os justi,Communis,,,False,,firstVespers,secondVespers
500,white,"{""id"": 27600, ""mass"": false}","{""id"": 27700, ""mass"": {""int"": ""Me expectaverunt"", ""glo"": true, ""cre"": true, ""pre"": ""Communis""}}",,,,,"{""lessons"": 9}","[0, 0, 0, 0, 0, 0]",,False,,14,dm,,,,True,True,Statuit ei,de Apostolis,,,False,,firstVespers,secondVespers
600,red,"{""id"": 27800, ""mass"": {""int"": ""In virtute"", ""glo"": true, ""cre"": false, ""pre"": ""Communis""}}",,,,,,"{""lessons"": 3}","[5, 2, 6, 7, 3, 0]",,False,,22,s,,,,False,True,Justi epulentur,Communis,,,False,,firstVespers,secondVespers
700,red,,,,,,,"{""lessons"": 9}","[5, 2, 6, 7, 3, 0]",,False,,15,d,,,,False,True,Intret in conspectu,de Apostolis,,,False,,firstVespers,secondVespers
800,red,,,,,,,"{""lessons"": 9}","[5, 2, 6, 7, 3, 0]",,False,,15,d,,,,False,True,Me expectaverunt,Communis,,,False,,firstVespers,secondVespers
900,red,,,,,,,"{""lessons"": 9}","[5, 2, 6, 7, 3, 0]",,False,,16,sd,,,,False,True,Intret,Communis,,,False,,firstVespers,secondVespers
